Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 4,75,500",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,56,000",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,81,500",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,99,000",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,26,289",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 4,65,138",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,08,138",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 4,90,924",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,31,279",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,30,000",CNG,3600 mm,1600 mm,,5,165 mm,59PS@6000rpm,78Nm@3500rpm,5,Celerio
"Rs. 5,33,924",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 4,34,659",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 4,72,257",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,15,257",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,43,279",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio
"Rs. 5,51,530",Diesel,3765 mm,1660 mm,,5,,71PS@4000rpm,16.3Nm@1500-2750RPM,5,Grand I10 Prime
"Rs. 5,68,930",Diesel,3765 mm,1660 mm,,5,,71PS@4000rpm,16.3Nm@1500-2750RPM,5,Grand I10 Prime
"Rs. 4,60,369",Petrol,3765 mm,1660 mm,19.77 km/litre,5,165 mm,83PS@6000rpm,114Nm@4000rpm,5,Grand I10 Prime
"Rs. 4,77,511",Petrol,3765 mm,1660 mm,19.77 km/litre,5,165 mm,83PS@6000rpm,114Nm@4000rpm,5,Grand I10 Prime
"Rs. 5,45,946",CNG,3765 mm,1660 mm,,5,165 mm,83PS@6000rpm,114Nm@4000rpm,5,Grand I10 Prime
"Rs. 5,28,804",CNG,3765 mm,1660 mm,,5,165 mm,83PS@6000rpm,114Nm@4000rpm,5,Grand I10 Prime
"Rs. 4,88,194",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 5,32,184",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 5,90,798",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 6,19,243",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 6,67,273",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 5,79,645",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 6,31,144",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 7,54,548",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 6,93,550",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 7,87,304",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 7,01,045",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 7,94,800",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 5,73,250",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,5,Kuv100 Nxt
"Rs. 6,31,146",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,5,Kuv100 Nxt
"Rs. 6,87,175",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,5,Kuv100 Nxt
"Rs. 6,60,832",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,5,Kuv100 Nxt
"Rs. 7,48,128",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,5,Kuv100 Nxt
"Rs. 7,80,884",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,5,Kuv100 Nxt
"Rs. 5,50,155",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,5,Kuv100 Nxt
"Rs. 5,59,741",Diesel,3700 mm,1735 mm,25.32 km/litre,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,6,Kuv100 Nxt
"Rs. 5,24,312",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,5,Kuv100 Nxt
"Rs. 5,42,913",Petrol,3700 mm,1735 mm,18.15 km/litre,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,6,Kuv100 Nxt
"Rs. 5,19,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 6,19,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 6,66,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 6,78,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 7,25,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 7,58,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 5,99,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 6,98,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,165 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 7,45,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,165 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 7,57,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 8,04,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 8,38,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 8,02,000",Petrol,3840 mm,1735 mm,20.4 km/litre,5,163 mm,83PS@6000rpm,113Nm@4200RPM,5,Swift
"Rs. 8,84,000",Diesel,3840 mm,1735 mm,25.2 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Swift
"Rs. 5,29,000",Petrol,3990 mm,1755 mm,18 km/litre,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Altroz
"Rs. 6,15,000",Petrol,3990 mm,1755 mm,,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Altroz
"Rs. 6,84,000",Petrol,3990 mm,1755 mm,,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Altroz
"Rs. 7,44,000",Petrol,3990 mm,1755 mm,,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Altroz
"Rs. 7,69,000",Petrol,3990 mm,1755 mm,,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Altroz
"Rs. 6,99,000",Diesel,3990 mm,1755 mm,25 km/litre,5,165 mm,90PS@4000rpm,200Nm@1250-3000rpm,5,Altroz
"Rs. 7,75,000",Diesel,3990 mm,1755 mm,,5,165 mm,90PS@4000rpm,200Nm@1250-3000rpm,5,Altroz
"Rs. 8,44,000",Diesel,3990 mm,1755 mm,,5,165 mm,90PS@4000rpm,200Nm@1250-3000rpm,5,Altroz
"Rs. 9,04,000",Diesel,3990 mm,1755 mm,,5,165 mm,90PS@4000rpm,200Nm@1250-3000rpm,5,Altroz
"Rs. 9,29,000",Diesel,3990 mm,1755 mm,,5,165 mm,90PS@4000rpm,200Nm@1250-3000rpm,5,Altroz
"Rs. 6,42,478",Diesel,4440 mm,,11.12 km/litre,5,170 mm,101.4PS@3600RPM,240Nm@2000-2500RPM,9,Extreme
"Rs. 5,89,678",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 6,89,761",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 7,88,177",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 26,50,777",Diesel,4440 mm,,11.12 km/litre,5,170 mm,101.4PS@3600RPM,240Nm@2000-2500RPM,9,Extreme
"Rs. 6,28,072",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 9,00,967",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,7,Extreme
"Rs. 14,65,148",Diesel,4440 mm,,11.12 km/litre,5,170 mm,101.4PS@3600RPM,240Nm@2000-2500RPM,7,Extreme
"Rs. 5,52,890",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 9,27,689",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,7,Extreme
"Rs. 8,35,275",Diesel,4440 mm,,11.12 km/litre,5,170 mm,122PS@4000RPM,270Nm@2500RPM,9,Extreme
"Rs. 5,75,000",Petrol,3992 mm,1677 mm,23 km/litre,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 6,10,000",Petrol,3992 mm,1677 mm,23 km/litre,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 6,50,000",Petrol,3992 mm,1677 mm,23 km/litre,5,170 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 6,99,000",Petrol,3992 mm,1677 mm,23 km/litre,5,170 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 6,60,000",Petrol,3992 mm,1677 mm,23 km/litre,5,165 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 7,49,000",Petrol,3992 mm,1677 mm,23 km/litre,5,170 mm,86PS@6000rpm,113Nm@3300rpm,5,Tigor
"Rs. 5,82,287",Petrol,3995 mm,1706 mm,17.6 km/litre,5,175 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Zest
"Rs. 7,02,946",Diesel,3995 mm,1706 mm,23 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Zest
"Rs. 6,53,926",Petrol,3995 mm,1706 mm,17.6 km/litre,5,175 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Zest
"Rs. 6,72,641",Petrol,3995 mm,1706 mm,17.6 km/litre,5,175 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Zest
"Rs. 7,32,475",Petrol,3995 mm,1706 mm,17.6 km/litre,5,175 mm,90PS@5000rpm,140Nm@1750-3000rpm,5,Zest
"Rs. 7,67,317",Diesel,3995 mm,1706 mm,23 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Zest
"Rs. 7,93,898",Diesel,3995 mm,1706 mm,20.65 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Zest
"Rs. 8,55,362",Diesel,3995 mm,1706 mm,23 km/litre,5,165 mm,90PS@4000rpm,200NM@1750-3000rpm,5,Zest
"Rs. 8,36,320",Diesel,3995 mm,1706 mm,23 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Zest
"Rs. 9,89,000",Diesel,3995 mm,1706 mm,23 km/litre,5,165 mm,90PS@4000rpm,200NM@1750-3000rpm,5,Zest
"Rs. 7,88,797",Diesel,3995 mm,1706 mm,20.65 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Zest
"Rs. 7,63,000",Petrol,3995 mm,1695 mm,19 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 7,05,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 5,93,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 8,65,000",Diesel,3995 mm,1695 mm,23.8 km/litre,5,170 mm,80PS@3600rpm,160Nm@1750rpm,5,Amaze
"Rs. 8,23,000",Petrol,3995 mm,1695 mm,19 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 9,25,000",Diesel,3995 mm,1695 mm,23.8 km/litre,5,170 mm,80PS@3600rpm,160Nm@1750rpm,5,Amaze
"Rs. 7,85,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 8,93,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 8,45,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 7,81,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 7,33,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 6,73,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 9,06,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 7,94,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 9,66,000",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 8,64,000",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 9,79,300",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 8,77,300",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 9,06,300",Diesel,3995 mm,1695 mm,27.4 km/litre,5,170 mm,100PS@3600rpm,200Nm@1750rpm,5,Amaze
"Rs. 7,94,300",Petrol,3995 mm,1695 mm,19.5 km/litre,5,170 mm,90PS@6000rpm,110Nm@4800rpm,5,Amaze
"Rs. 6,37,343",Petrol,4010 mm,1540 mm,11.9 km/litre,5,210 mm,80PS@6000rpm,103Nm@4500RPM,8,Gypsy
"Rs. 6,22,730",Petrol,4010 mm,1540 mm,11.9 km/litre,5,210 mm,80PS@6000rpm,103Nm@4500RPM,8,Gypsy
"Rs. 6,55,000",Petrol,3995 mm,1770 mm,17.52 km/litre,5,200 mm,82hp@6000rpm,112.7Nm@4000rpm,5,Venue
"Rs. 8,26,000",Petrol,3995 mm,1770 mm,18.27 km/litre,7,200 mm,117hp@6000rpm,172Nm@4000rpm,5,Venue
"Rs. 7,80,000",Diesel,3995 mm,1770 mm,23.7 km/litre,6,200 mm,89hp@4000rpm,220Nm@1500-2750rpm,5,Venue
"Rs. 9,59,000",Petrol,3995 mm,1770 mm,18.27 km/litre,6,200 mm,117bhp@6000rpm,172Nm@1500-4000rpm,5,Venue
"Rs. 9,74,000",Petrol,3995 mm,1770 mm,18.27 km/litre,6,200 mm,117hp@6000rpm,172Nm@1500-4000rpm,5,Venue
"Rs. 10,65,000",Petrol,3995 mm,1770 mm,18.27 km/litre,6,200 mm,117hp@6000rpm,1712Nm@1500-4000rpm,5,Venue
"Rs. 9,40,000",Petrol,3995 mm,1770 mm,18.15 km/litre,7,200 mm,118hp@6000rpm,172Nm@4000rpm,5,Venue
"Rs. 11,15,500",Petrol,3995 mm,1770 mm,18.15 km/litre,7,200 mm,118@6000rpm,172Nm@1500-4000rpm,5,Venue
"Rs. 7,25,000",Petrol,3995 mm,1770 mm,17.52 km/litre,5,200 mm,82hp@6000rpm,115Nm@4000rpm,5,Venue
"Rs. 8,50,000",Diesel,3995 mm,1770 mm,23.7 km/litre,6,200 mm,89hp@4000rpm,220Nm@1500-2750rpm,5,Venue
"Rs. 9,83,000",Diesel,3995 mm,1770 mm,23.7 km/litre,6,200 mm,89hp@4000rpm,220Nm@1500-2750rpm,5,Venue
"Rs. 9,98,000",Diesel,3995 mm,1770 mm,23.7 km/litre,6,200 mm,89hp@4000rpm,220Nm@1500-2750rpm,5,Venue
"Rs. 10,89,000",Diesel,3995 mm,1770 mm,23.7 km/litre,6,200 mm,90PS,22.4,5,Venue
"Rs. 6,95,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 7,70,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 8,70,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 9,50,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 9,70,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 10,40,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 10,60,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 8,30,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 10,10,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 10,30,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 11,00,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 11,20,000",Petrol,3994 mm,1811 mm,17.6 km/litre,,209 mm,110PS@5000rpm,170Nm@1500-2750rpm,5,Nexon
"Rs. 8,45,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 9,20,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 10,20,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 11,00,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 11,20,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 11,90,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 12,10,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 9,80,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 11,60,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 11,80,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 12,50,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 12,70,000",Diesel,3994 mm,1811 mm,23.97 km/litre,,209 mm,110PS@3750RPM,260Nm@1500-2750rpm,5,Nexon
"Rs. 7,15,860",Petrol,4596 mm,1730 mm,15.7 km/litre,5,185 mm,114PS@5000rpm,207Nm@4500rpm,5,Linea
"Rs. 8,62,175",Diesel,4596 mm,1730 mm,20.4 km/litre,5,185 mm,93PS@4000RPM,209Nm@2000rpm,5,Linea
"Rs. 9,32,025",Diesel,4596 mm,1730 mm,20.4 km/litre,5,185 mm,93PS@4000RPM,209Nm@2000rpm,5,Linea
"Rs. 9,91,434",Diesel,4596 mm,1730 mm,20.4 km/litre,5,185 mm,93PS@5000RPM,209Nm@2000rpm,5,Linea
"Rs. 9,97,763",Petrol,4596 mm,1730 mm,15.7 km/litre,5,185 mm,114PS@5000rpm,207Nm@2200rpm,5,Linea
"Rs. 8,86,398",Diesel,3995 mm,1745 mm,16.5 km/litre,5,180 mm,70ps@3600rpm,195Nm@1400-2200rpm,7,Bolero Power Plus
"Rs. 8,51,302",Diesel,3995 mm,1745 mm,16.5 km/litre,5,180 mm,70ps@3600rpm,195Nm@1400-2200rpm,7,Bolero Power Plus
"Rs. 7,85,656",Diesel,3995 mm,1745 mm,16.5 km/litre,5,180 mm,70ps@3600rpm,195Nm@1400-2200rpm,7,Bolero Power Plus
"Rs. 7,49,192",Diesel,3995 mm,1745 mm,16.5 km/litre,5,180 mm,70 bhp @ 3600 rpm,195Nm@1400-2200rpm,7,Bolero Power Plus
"Rs. 8,59,497",Diesel,4494 mm,1745 mm,15.96 km/litre,5,195 mm,63PS@3200rpm,,7,Bolero Power Plus
"Rs. 8,19,117",Diesel,4440 mm,1660 mm,15.96 km/litre,5,195 mm,63.9PS@3200RPM,195Nm@1440-2200RPM,9,Bolero Power Plus
"Rs. 7,62,742",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 8,14,742",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 8,92,243",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 9,87,743",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 10,03,552",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 10,37,742",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 8,64,742",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 9,42,243",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 10,59,742",Diesel,3995 mm,1790 mm,24.3 km/litre,5,198 mm,90PS@4000rpm,200Nm@1750rpm,5,Vitara Brezza
"Rs. 7,74,035",Petrol,3995 mm,1760 mm,17.19 km/litre,5,190 mm,83PS@6000rpm,114Nm@4000rpm,5,I20 Active
"Rs. 8,58,536",Petrol,3995 mm,1760 mm,17.19 km/litre,6,190 mm,83PS@6000rpm,114Nm@4000rpm,5,I20 Active
"Rs. 8,82,298",Petrol,3995 mm,1760 mm,17.19 km/litre,6,190 mm,83PS@6000rpm,114Nm@4000rpm,5,I20 Active
"Rs. 9,93,393",Diesel,3995 mm,1760 mm,21.19 km/litre,6,190 mm,90PS@4000rpm,220Nm@1500-2750rpm,5,I20 Active
"Rs. 7,91,000",Petrol,3998 mm,1765 mm,17 km/litre,5,200 mm,123PS@6500rpm,150Nm@4500rpm,5,Ecosport
"Rs. 8,71,000",Petrol,3998 mm,1765 mm,17 km/litre,5,200 mm,123PS@6500rpm,150Nm@4500rpm,5,Ecosport
"Rs. 9,50,000",Petrol,3998 mm,1765 mm,17 km/litre,5,200 mm,123PS@6500rpm,150Nm@4500rpm,5,Ecosport
"Rs. 11,30,000",Petrol,3998 mm,1765 mm,14.8 km/litre,6,200 mm,123PS@6500rpm,150Nm@4500rpm,5,Ecosport
"Rs. 8,41,000",Diesel,3998 mm,1765 mm,23 km/litre,5,200 mm,100PS@3750RPM,205Nm@1750-3250rpm,5,Ecosport
"Rs. 9,21,000",Diesel,3998 mm,1765 mm,23 km/litre,5,200 mm,100PS@3750RPM,205Nm@1750-3250rpm,5,Ecosport
"Rs. 9,99,900",Diesel,3998 mm,1765 mm,23 km/litre,5,200 mm,100PS@3750RPM,205Nm@1750-3250rpm,5,Ecosport
"Rs. 10,90,000",Diesel,3998 mm,1765 mm,23 km/litre,5,200 mm,100PS@3750RPM,205Nm@1750-3250rpm,5,Ecosport
"Rs. 9,99,900",Petrol,3998 mm,1765 mm,23 km/litre,5,200 mm,123PS@6500rpm,150Nm@4500rpm,5,Ecosport
"Rs. 11,45,000",Diesel,3998 mm,1765 mm,23 km/litre,5,200 mm,100PS@3750RPM,205Nm@1750-3250rpm,5,Ecosport
