Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 7,73,800",Diesel,3995 mm,1680 mm,25.35 km/litre,5,,75PS@4000rpm,190NM@1750-2250RPM,5,Aura
"Rs. 8,23,700",Diesel,3995 mm,1680 mm,20.4 km/litre,5,,75PS@4000rpm,190NM@1750-2250RPM,5,Aura
"Rs. 9,22,700",Diesel,3995 mm,1680 mm,25.4 km/litre,5,,75PS@4000rpm,190NM@1750-2250RPM,5,Aura
"Rs. 9,03,800",Diesel,3995 mm,1680 mm,25.35 km/litre,5,,75PS@4000rpm,190NM@1750-2250RPM,5,Aura
"Rs. 5,82,000",Petrol,3971 mm,1682 mm,18.78 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Polo
"Rs. 6,76,500",Petrol,3971 mm,1682 mm,18.78 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Polo
"Rs. 7,76,500",Petrol,3971 mm,1682 mm,18.78 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Polo
"Rs. 7,34,500",Diesel,3971 mm,1682 mm,20.14 km/litre,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,5,Polo
"Rs. 8,51,500",Diesel,3971 mm,1682 mm,20.14 km/litre,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,5,Polo
"Rs. 9,31,500",Diesel,3971 mm,1682 mm,20.14 km/litre,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,5,Polo
"Rs. 9,76,000",Petrol,3971 mm,1682 mm,17.21 km/litre,7,165 mm,105PS@5000rpm,175Nm@1500-4100rpm,5,Polo
"Rs. 9,88,500",Diesel,3971 mm,1682 mm,19.91 km/litre,5,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Polo
"Rs. 5,82,613",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 6,73,112",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 6,66,622",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 7,32,113",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 7,57,622",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 7,20,112",Petrol,3995 mm,1735 mm,22 km/litre,4,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 8,63,122",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 8,16,622",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 8,21,613",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 7,79,113",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 8,68,613",Petrol,3995 mm,1735 mm,22 km/litre,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,5,Dzire
"Rs. 9,06,122",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 8,04,622",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 9,52,622",Diesel,3995 mm,1735 mm,28.4 km/litre,5,163 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire
"Rs. 6,76,400",Diesel,3954 mm,1737 mm,24.4 km/litre,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,5,Freestyle
