Displacement,Cylinders,Valves_Per_Cylinder,Cylinder_Configuration,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Emission_Norm,Start_/_Stop_Button,ARAI_Certified_Mileage
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,,18.78 km/litre
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.78 km/litre
1498 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.14 km/litre
1498 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.14 km/litre
1498 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,Yes,20.14 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.21 km/litre
1498 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,19.91 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,,22 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,,22 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,28.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,Yes,22 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,28.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,,22 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,28.4 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,28.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,Yes,22 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,Yes,22 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS IV,Yes,22 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,28.4 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,28.4 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,28.4 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,24.4 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,24.4 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,24.4 km/litre
1194 cc,3,4,In-line,Injection,42 litres,Petrol,BS IV,,19 km/litre
1194 cc,3,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,19 km/litre
1194 cc,3,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,19 km/litre
1194 cc,3,4,In-line,Injection,42 litres,Petrol,BS IV,,19 km/litre
1498 cc,3,4,In-line,Injection,42 litres,Diesel,BS IV,,24.4 km/litre
1498 cc,,4,In-line,Injection,45 litres,Diesel,BS IV,,21.66 km/litre
1498 cc,,4,In-line,Injection,45 litres,Diesel,BS IV,,21.66 km/litre
1498 cc,,,In-line,Injection,45 litres,Diesel,BS IV,,21.73 km/litre
1498 cc,,4,In-line,Injection,45 litres,Diesel,BS IV,,21.66 km/litre
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,,19 km/litre
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,,19 km/litre
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,,19 km/litre
1498 cc,,,In-line,Injection,45 litres,Diesel,BS IV,,21.73 km/litre
1194 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,20.4 km/litre
1194 cc,4,,In-line,Injection,42 litres,Petrol,BS IV,,20.4 km/litre
1194 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,20.4 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,26.1 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,26.1 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,26.1 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,26.1 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,26.1 km/litre
1194 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,19.4 km/litre
1194 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,19.4 km/litre
1194 cc,4,,In-line,Injection,42 litres,CNG,BS IV,,
1194 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,19.4 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,26.1 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1496 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,16.78 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.71 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.71 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1461 cc,4,2,In-line,Injection,50 litres,Diesel,BS IV,,20.08 km/litre
1461 cc,4,2,In-line,Injection,50 litres,Diesel,BS IV,,20.08 km/litre
1461 cc,4,2,In-line,Injection,50 litres,Diesel,BS IV,,20.08 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20 km/litre
1368 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.1 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20 km/litre
1197 cc,4,,In-line,Injection,37 litres,Petrol,BS 6,Yes,23.87 km/litre
1197 cc,4,,In-line,Injection,37 litres,Petrol,BS 6,Yes,21.01 km/litre
1197 cc,4,,In-line,Injection,37 litres,Petrol,BS 6,Yes,19.56 km/litre
1197 cc,4,,In-line,Injection,37 litres,Petrol,BS 6,Yes,19.56 km/litre
1197 cc,4,,In-line,Injection,37 litres,Petrol,BS 6,Yes,19.56 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.5 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.5 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.5 km/litre
1199 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,,18.2 km/litre
1199 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,Yes,19 km/litre
1199 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,,18.2 km/litre
