Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,98,90,000",7.8 km/litre,453PS@5500RPM,700Nm@1800-3500RPM
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,12,63,000",10.63 km/litre,550PS@6000RPM,770Nm@1960 - 4500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,26,13,000",10.63 km/litre,550PS@6000RPM,770Nm@1960 - 4500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,17,47,000",10.63 km/litre,550PS@6000RPM,770Nm@1960 - 4500rpm
Yes,Yes,10,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,32,90,000",18 km/litre,261PS@6000rpm,650Nm@1600-2600rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,34,91,293",7.8 km/litre,455PS@5500RPM,700Nm@1800-3500RPM
,,8,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 2,72,45,000",6.71 km/litre,610PS@8250rpm,560Nm@6500rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 3,00,00,000",7.8 km/litre,650PS@6000rpm,850Nm@2250-4500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 3,37,91,059",8.6 km/litre,590PS@6000rpm,720Nm@1800rpm
Yes,Yes,4,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 3,50,00,000",9 km/litre,560PS@7500rpm,755NM@4750rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,59,41,557",19 km/litre,608PS@6000RPM,900Nm@1350rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 3,75,42,069",8.77 km/litre,550PS@6000RPM,770Nm@1350rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,04,56,503",,608PS@6500rpm,700Nm@1500rpm
Yes,Yes,5,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,25,31,500",9 km/litre,605PS@9000rpm,540Nm@6000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,67,09,733",17.3 km/litre,563PS@5250rpm,780Nm@1700rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,32,47,201",7.29 km/litre,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm
Yes,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 5,00,25,840",10.2 km/litre,625PS@5600rpm,800Nm@1500-5500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,25,71,294",9.5 km/litre,512PS@4200rpm,1020Nm@1750rpm
,,,,,,,,,,,,,"Rs. 6,95,00,000",22.4-21.9 km/litre,563@5000rpm,850 Nm@1600rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,73,12,661",22.8 km/litre,460PS@5350rpm,720Nm@3500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 19,21,42,937",5.95 km/litre,1479bhp@6700rpm,1600Nm@2000-6000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 21,21,55,397",5.95 km/litre,1600Nm@2000-6000rpm,1479bhp@6700rpm
,,,,,,,Yes,Yes,Yes,Yes,Yes,,"Rs. 2,63,000",35 km/litre,13bhp@5500rpm,18.9Nm@4000rpm
,,,,,,,Yes,Yes,Yes,Yes,Yes,,"Rs. 2,83,000",,12bhp@5500rpm,16.1Nm@4000rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 2,94,800",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,2,,,,Yes,Yes,Yes,Yes,Yes,Yes,,"Rs. 2,99,900",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,,,,,,Yes,,Yes,Yes,Yes,,"Rs. 3,52,900",22.05 km/litre,47hp@6000rpm,69Nm@3500rpm
,,1,,,,Yes,Yes,Yes,Yes,Yes,Yes,,"Rs. 3,57,200",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,2,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 3,76,100",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,,,,,,Yes,,Yes,Yes,Yes,,"Rs. 4,05,570",22.05 km/litre,47hp@6000rpm,69Nm@3500rpm
,,1,,,,Yes,Yes,Yes,Yes,Yes,Yes,,"Rs. 4,09,190",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,2,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 3,89,600",22.05 km/litre,48PS@6000rpm,69Nm@3500rpm
,,1,,,Yes,Yes,Yes,Yes,Yes,,Yes,,"Rs. 3,70,500",21.4 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,,,Yes,Yes,Yes,Yes,Yes,,Yes,,"Rs. 3,76,500",21.4 km/litre,67PS@5500rpm,90Nm@3500rpm
,,1,,,Yes,Yes,Yes,Yes,Yes,,Yes,,"Rs. 4,09,000",21.4 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,,,Yes,Yes,Yes,Yes,Yes,,Yes,,"Rs. 4,15,000",21.4 km/litre,67PS@5500rpm,90Nm@3500rpm
,,1,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 4,32,500",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 4,38,500",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,1,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 4,75,500",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 4,56,000",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 4,81,500",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,2,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 4,99,000",21.7 km/litre,67PS@5500rpm,90Nm@3500rpm
,,,,,Yes,,,,Yes,Yes,Yes,,"Rs. 4,26,289",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,,,,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 4,65,138",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,,,,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,08,138",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 4,90,924",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,31,279",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,,,,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,30,000",,59PS@6000rpm,78Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,33,924",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 4,34,659",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,72,257",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,15,257",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,43,279",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,,Yes,Yes,Yes,,,,Yes,,Yes,,"Rs. 5,51,530",,71PS@4000rpm,16.3Nm@1500-2750RPM
,,1,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,68,930",,71PS@4000rpm,16.3Nm@1500-2750RPM
,,1,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 4,60,369",19.77 km/litre,83PS@6000rpm,114Nm@4000rpm
,,1,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 4,77,511",19.77 km/litre,83PS@6000rpm,114Nm@4000rpm
,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 5,45,946",,83PS@6000rpm,114Nm@4000rpm
,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 5,28,804",,83PS@6000rpm,114Nm@4000rpm
,,,Yes,,,Yes,,,Yes,Yes,Yes,,"Rs. 4,88,194",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,32,184",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,90,798",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 6,19,243",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,67,273",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,79,645",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,31,144",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,54,548",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,93,550",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,87,304",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,01,045",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,94,800",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,73,250",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,31,146",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,87,175",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,60,832",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,48,128",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,80,884",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,50,155",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,59,741",25.32 km/litre,77PS@3750RPM,190NM@1750-2250RPM
,,,Yes,,,Yes,,,Yes,Yes,Yes,,"Rs. 5,24,312",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,,Yes,,,Yes,,,Yes,Yes,Yes,,"Rs. 5,42,913",18.15 km/litre,82PS@5500RPM,115NM@3500-3600RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,19,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,19,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,66,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,78,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,25,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,58,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,99,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,98,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,45,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,57,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,04,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,38,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,02,000",20.4 km/litre,83PS@6000rpm,113Nm@4200RPM
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,84,000",25.2 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,"Rs. 5,29,000",18 km/litre,86PS@6000rpm,113Nm@3300rpm
,,2,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,"Rs. 6,15,000",,86PS@6000rpm,113Nm@3300rpm
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 6,84,000",,86PS@6000rpm,113Nm@3300rpm
Yes,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,44,000",,86PS@6000rpm,113Nm@3300rpm
Yes,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,69,000",,86PS@6000rpm,113Nm@3300rpm
,,2,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,"Rs. 6,99,000",25 km/litre,90PS@4000rpm,200Nm@1250-3000rpm
,,2,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,"Rs. 7,75,000",,90PS@4000rpm,200Nm@1250-3000rpm
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 8,44,000",,90PS@4000rpm,200Nm@1250-3000rpm
Yes,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,04,000",,90PS@4000rpm,200Nm@1250-3000rpm
Yes,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,29,000",,90PS@4000rpm,200Nm@1250-3000rpm
,,,,,,,,,Yes,,Yes,,"Rs. 6,42,478",11.12 km/litre,101.4PS@3600RPM,240Nm@2000-2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 5,89,678",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 6,89,761",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 7,88,177",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 26,50,777",11.12 km/litre,101.4PS@3600RPM,240Nm@2000-2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 6,28,072",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 9,00,967",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,Yes,Yes,,,,Yes,,Yes,,"Rs. 14,65,148",11.12 km/litre,101.4PS@3600RPM,240Nm@2000-2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 5,52,890",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 9,27,689",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,,,,,,,Yes,,Yes,,"Rs. 8,35,275",11.12 km/litre,122PS@4000RPM,270Nm@2500RPM
,,,Yes,,,Yes,,,Yes,Yes,Yes,,"Rs. 5,75,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,10,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,50,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,99,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,Yes,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,60,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,49,000",23 km/litre,86PS@6000rpm,113Nm@3300rpm
,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,82,287",17.6 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 7,02,946",23 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,53,926",17.6 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,72,641",17.6 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,32,475",17.6 km/litre,90PS@5000rpm,140Nm@1750-3000rpm
,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,67,317",23 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,93,898",20.65 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,55,362",23 km/litre,90PS@4000rpm,200NM@1750-3000rpm
,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,36,320",23 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,89,000",23 km/litre,90PS@4000rpm,200NM@1750-3000rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,88,797",20.65 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,63,000",19 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,05,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,93,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,65,000",23.8 km/litre,80PS@3600rpm,160Nm@1750rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,23,000",19 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,25,000",23.8 km/litre,80PS@3600rpm,160Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,85,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,93,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,45,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,81,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,33,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,73,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,06,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,94,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,66,000",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,64,000",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,79,300",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,77,300",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,06,300",27.4 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,94,300",19.5 km/litre,90PS@6000rpm,110Nm@4800rpm
,,,,,,,,,,,,,"Rs. 6,37,343",11.9 km/litre,80PS@6000rpm,103Nm@4500RPM
,,,,,,,,,,,,,"Rs. 6,22,730",11.9 km/litre,80PS@6000rpm,103Nm@4500RPM
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 6,55,000",17.52 km/litre,82hp@6000rpm,112.7Nm@4000rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 8,26,000",18.27 km/litre,117hp@6000rpm,172Nm@4000rpm
,,2,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 7,80,000",23.7 km/litre,89hp@4000rpm,220Nm@1500-2750rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,59,000",18.27 km/litre,117bhp@6000rpm,172Nm@1500-4000rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,74,000",18.27 km/litre,117hp@6000rpm,172Nm@1500-4000rpm
,Yes,6,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 10,65,000",18.27 km/litre,117hp@6000rpm,1712Nm@1500-4000rpm
,Yes,2,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 9,40,000",18.15 km/litre,118hp@6000rpm,172Nm@4000rpm
,Yes,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 11,15,500",18.15 km/litre,118@6000rpm,172Nm@1500-4000rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,25,000",17.52 km/litre,82hp@6000rpm,115Nm@4000rpm
,,2,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,"Rs. 8,50,000",23.7 km/litre,89hp@4000rpm,220Nm@1500-2750rpm
Yes,,2,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,"Rs. 9,83,000",23.7 km/litre,89hp@4000rpm,220Nm@1500-2750rpm
Yes,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 9,98,000",23.7 km/litre,89hp@4000rpm,220Nm@1500-2750rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Rs. 10,89,000",23.7 km/litre,90PS,22.4
,,2,Yes,,Yes,Yes,,,Yes,,Yes,,"Rs. 6,95,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
,,2,Yes,,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 7,70,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
Yes,,2,Yes,,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 8,70,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 9,50,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 9,70,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 10,40,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 10,60,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
,,2,Yes,,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 8,30,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 10,10,000",17.6 km/litre,110PS@5000rpm,170Nm@1500-2750rpm
