Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,10,000",23 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 6,20,000",24 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 6,49,000",24 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 6,60,000",24 km/litre,86PS@6000rpm,114NM@3300rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,81,074",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 4,75,198",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,18,198",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,24,074",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 4,99,734",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,40,350",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,1,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,42,735",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,52,350",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,13,898",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,66,898",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,07,841",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,60,841",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 4,83,320",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,30,320",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,83,320",20.89 km/litre,83PS@6000rpm,113Nm@4200RPM
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"Rs. 4,95,000",20.5 km/litre,72PS@62050rpm,96Nm@3500rpm
,,2,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 5,59,000",20.5 km/litre,72PS@62050rpm,96Nm@3500rpm
,,2,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 6,09,000",20.5 km/litre,72PS@62050rpm,96Nm@3500rpm
,,4,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 6,63,000",20.5 km/litre,72PS@62050rpm,96Nm@3500rpm
,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,06,000",16 km/litre,76.6PS@5800rpm,103.9Nm@3500-4250rpm
,,,,,,,,,Yes,,Yes,,"Rs. 5,68,623",16 km/litre,64PS@4000rpm,152Nm@2500RPM
,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,70,000",16 km/litre,76.6PS@5800rpm,103.9Nm@3500-4250rpm
,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,03,000",16 km/litre,64PS@4000rpm,152Nm@2250RPM
,,,,,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,39,000",16 km/litre,64PS@4000rpm,152Nm@2250RPM
,,,,,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,39,000",23.7 km/litre,72PS@4000rpm,183Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,20,300",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,81,000",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 6,47,800",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,30,000",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,45,000",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,04,000",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,97,700",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,20,700",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,41,700",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,56,700",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,58,400",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,86,000",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,62,700",18.16 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,77,700",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,Yes,Yes,,,,,Yes,Yes,Yes,Yes,"Rs. 5,25,021",18.97 km/litre,68PS@5000rpm,104Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,99,950",19.49 km/litre,68PS@5000rpm,104Nm@4000rpm
,,2,Yes,Yes,,,,,Yes,Yes,Yes,Yes,"Rs. 5,63,133",18.97 km/litre,68PS@5000rpm,104Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,87,980",22.95 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 6,61,111",22.95 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,93,798",22.95 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,19,661",22.95 km/litre,75PS@4000rpm,190Nm@1750-3000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,74,960",17.57 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,29,035",17.57 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,90,268",17.57 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,14,515",17.57 km/litre,90PS@5000rpm,140Nm@1500-4000rpm
,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,56,130",,83PS@6000rpm,114Nm@6000rpm
,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 5,36,859",15.7 km/litre,83PS@6000rpm,114Nm@6000rpm
,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,56,130",,83PS@6000rpm,114Nm@6000rpm
,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,36,859",,81.8bhp@6000rpm,114Nm@6000rpm
,,2,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 6,39,616",20.14 km/litre,70bhp@4000RPM,114Nm@6000rpm
,,2,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 6,20,297",20 km/litre,71PS@4000rpm,114Nm@6000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 6,53,523",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 5,53,423",22 km/litre,83PS@6000rpm,115Nm@4000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,,"Rs. 5,98,940",,69bhp@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,59,693",18.6 km/litre,84PS@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,97,803",22.54 km/litre,90PS@4000rpm,220Nm@1500rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,34,950",18.6 km/litre,84PS@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,70,803",22.54 km/litre,90PS@4000rpm,220Nm@1500rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,21,693",18.6 km/litre,84PS@6000rpm,115Nm@4000rpm
