Torque,Power,ARAI_Certified_Mileage,Ex-Showroom_Price
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 6,86,000"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 6,62,700"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,77,700"
104Nm@4000rpm,68PS@5000rpm,18.97 km/litre,"Rs. 5,25,021"
104Nm@4000rpm,68PS@5000rpm,19.49 km/litre,"Rs. 5,99,950"
104Nm@4000rpm,68PS@5000rpm,18.97 km/litre,"Rs. 5,63,133"
190Nm@1750-3000rpm,75PS@4000rpm,22.95 km/litre,"Rs. 7,87,980"
190Nm@1750-3000rpm,75PS@4000rpm,22.95 km/litre,"Rs. 6,61,111"
190Nm@1750-3000rpm,75PS@4000rpm,22.95 km/litre,"Rs. 6,93,798"
190Nm@1750-3000rpm,75PS@4000rpm,22.95 km/litre,"Rs. 7,19,661"
140Nm@1500-4000rpm,90PS@5000rpm,17.57 km/litre,"Rs. 6,74,960"
140Nm@1500-4000rpm,90PS@5000rpm,17.57 km/litre,"Rs. 5,29,035"
140Nm@1500-4000rpm,90PS@5000rpm,17.57 km/litre,"Rs. 5,90,268"
140Nm@1500-4000rpm,90PS@5000rpm,17.57 km/litre,"Rs. 6,14,515"
114Nm@6000rpm,83PS@6000rpm,,"Rs. 5,56,130"
114Nm@6000rpm,83PS@6000rpm,15.7 km/litre,"Rs. 5,36,859"
114Nm@6000rpm,83PS@6000rpm,,"Rs. 5,56,130"
114Nm@6000rpm,81.8bhp@6000rpm,,"Rs. 5,36,859"
114Nm@6000rpm,70bhp@4000RPM,20.14 km/litre,"Rs. 6,39,616"
114Nm@6000rpm,71PS@4000rpm,20 km/litre,"Rs. 6,20,297"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 6,53,523"
115Nm@4000rpm,83PS@6000rpm,22 km/litre,"Rs. 5,53,423"
115Nm@4000rpm,69bhp@6000rpm,,"Rs. 5,98,940"
115Nm@4000rpm,84PS@6000rpm,18.6 km/litre,"Rs. 5,59,693"
220Nm@1500rpm,90PS@4000rpm,22.54 km/litre,"Rs. 6,97,803"
115Nm@4000rpm,84PS@6000rpm,18.6 km/litre,"Rs. 6,34,950"
220Nm@1500rpm,90PS@4000rpm,22.54 km/litre,"Rs. 7,70,803"
115Nm@4000rpm,84PS@6000rpm,18.6 km/litre,"Rs. 7,21,693"
220Nm@1500rpm,90PS@4000rpm,22.54 km/litre,"Rs. 8,76,103"
114Nm@4000rpm,84PS@6000rpm,18.15 km/litre,"Rs. 8,08,993"
220Nm@1500-2750rpm,90PS@4000rpm,22.54 km/litre,"Rs. 9,34,003"
115Nm@4000rpm,83PS@6000rpm,18.6 km/litre,"Rs. 9,20,993"
115Nm@4000rpm,84PS@6000rpm,18.6 km/litre,"Rs. 7,51,693"
115Nm@4000rpm,84PS@6000rpm,18.6 km/litre,"Rs. 8,31,693"
220Nm@1500rpm,90PS@4000rpm,22.54 km/litre,"Rs. 8,46,103"
114Nm@4000rpm,83PS@6000rpm,20.5 km/litre,"Rs. 5,79,900"
114Nm@4000rpm,83PS@6000rpm,20.5 km/litre,"Rs. 6,55,900"
114Nm@4000rpm,83PS@6000rpm,20.1 km/litre,"Rs. 7,05,800"
114Nm@4000rpm,83PS@6000rpm,20.5 km/litre,"Rs. 7,29,900"
114Nm@4000rpm,83PS@6000rpm,20.1 km/litre,"Rs. 8,04,800"
114Nm@4000rpm,83PS@6000rpm,20.5 km/litre,"Rs. 7,85,900"
95Nm@4000rpm,69PS@6000rpm,20.5 km/litre,"Rs. 7,28,900"
172Nm@1500-4000rpm,100PS@6000rpm,20.5 km/litre,"Rs. 8,54,900"
190NM@1750-2250RPM,75PS@4000rpm,25.35 km/litre,"Rs. 7,73,800"
